Crime,Income-Debt Ratio,Assets & Liquidity,Payment Timing,Spending rel. Income,Establishment,Debt & Obligations,Current Macroeconomic Climate,Social Media Presence,Location,Quality of Associations,Consistency,Gambling,Organization,Abnormal Purchase Hist,Real Credibility
0.592745657461917,0.6262816758213958,0.5960846569202809,0.5622784588263938,0.49384495945133616,0.7063791460393134,0.5275931557566402,1.0,1.0,0.4205991746356802,0.9280560534347888,0.4864382981712187,0.5042612537259424,0.6214251513897396,0.09085678495890032,0.5488135039273248,
0.3436057361038061,0.5424679894509368,0.8681944953244709,0.7986363916573747,0.9815981131101292,1.0,0.8169032782061055,0.6620308862814654,1.0,0.295291234828246,0.8970866940982004,0.0,0.631652388926256,0.2935499623276092,0.21312666321962034,0.7151893663724195,
0.3908634269658081,0.7014875042679619,0.5825925288912562,0.6232935607322384,0.2562920323858196,0.7298097129135911,0.6408759217972672,0.7641322917588084,1.0,0.8027657050854756,0.42012364681756564,0.3204156075635527,0.5513889567516227,0.22132681258006404,0.5373206649027169,0.6027633760716439,
0.6984572656532404,0.4406209049834796,0.37418927991812934,0.48951168827415203,0.44675493807558514,0.6206956950482069,0.5240076975740858,1.0,0.0,0.22464761470121503,0.10458555624739196,0.6419089740708892,0.26268426698413316,0.4416411261456257,0.24043431428444945,0.5448831829968969,
0.11672742461987246,0.28338985015805457,0.4955664104929305,0.3151096847434889,0.20519409974854325,0.28187798365274597,0.5327924974872027,0.0,0.977884447636943,0.0,1.0,0.5380996666712912,0.9482188494495583,0.6182834085591137,0.7773266073556687,0.4236547993389047,
0.23116312609554474,0.5677046195941635,0.4711845312247138,0.5847361723232996,0.37137807071371187,0.4493159468121502,0.6167435312016439,0.04441765802797859,0.9615483888334886,0.7191557126938888,0.34090045128793517,0.3824685121627175,0.03737948532492835,0.38448448515581557,0.7147146928973637,0.6458941130666561,
0.2742992684688838,0.49785494804961794,0.2682142279687129,0.5024853724982622,0.2859595981846773,0.09543388223037869,0.4670016090981208,0.0,0.977048859179168,0.0,0.6687487090977917,0.2818225160317486,0.7458641259929315,0.7472882067842828,0.3513654292940722,0.4375872112626925,
0.960314601758133,0.9249080960399418,0.9250088774458816,0.8086974905742652,1.0,0.8346684096891173,1.0,1.0,0.559569600184499,1.0,0.7572304638831598,0.5731728996935374,0.17161983987389,0.2609211439598613,0.2699535348832436,0.8917730007820798,
1.0,0.9641395379946421,1.0,1.0,0.9088383954629187,1.0,0.8001884479262027,0.6898360075119074,1.0,0.7327481284325177,1.0,0.0,0.0,0.0,0.09510776448803321,0.9636627605010293,
0.46522700394913363,0.4101986084116261,0.45391389596005915,0.42907249982628437,0.33406279233823893,0.8117118423449258,0.33841255464206255,0.2949351156923427,1.0,0.7202549067764721,0.6484966774282539,0.12883528369522967,0.9437549198950677,0.7022550009938668,1.0,0.3834415188257777,
